"Time (ms)","Accelerometer X (mGal)","Accelerometer Y (mGal)","Accelerometer Z (mGal)","Gyro X","Gyro Y","Gyro Z","Magnetic X","Magnetic Y","Magnetic Z","Locomotion"
1899,"-0.3111572265625","0.897216796875","-0.0406494140625","-0.9765624403953552","0.1220703050494194","-0.30517578125","104","-50","85","4"
1930,"-0.31884765625","0.9276123046875","-0.029296875","0.4882812201976776","0.1220703050494194","-0.30517578125","104","-50","85","4"
1961,"-0.3170166015625","0.9061279296875","-0.0340576171875","-0.3662109076976776","0.4882812201976776","0.30517578125","104","-50","85","4"
1996,"-0.31884765625","0.9210205078125","-0.0372314453125","0","0.7934569716453552","-0.0610351525247097","102","-52","91","4"
2029,"-0.322998046875","0.902099609375","-0.025634765625","0.3662109076976776","0.54931640625","-0.1220703050494194","102","-52","91","4"
2060,"-0.320556640625","0.916259765625","-0.031982421875","-0.4272460639476776","0.3662109076976776","0","102","-52","91","4"
2091,"-0.3184814453125","0.9117431640625","-0.033447265625","0.3662109076976776","0.1831054538488388","-0.1831054538488388","102","-52","91","4"
2125,"-0.31982421875","0.9180908203125","-0.0311279296875","0.0610351525247097","0.1220703050494194","-0.6103515625","109","-40","89","4"
2160,"-0.31787109375","0.90087890625","-0.029296875","0.6103515625","0.4272460639476776","-0.1220703050494194","109","-40","89","4"
2192,"-0.3150634765625","0.9166259765625","-0.0283203125","-0.54931640625","0.54931640625","-0.54931640625","105","-49","86","4"
2285,"-0.31396484375","0.9022216796875","-0.0343017578125","-0.4882812201976776","0.1831054538488388","-0.0610351525247097","105","-49","86","4"
2318,"-0.318359375","0.9080810546875","-0.0321044921875","0.8544921278953552","0.30517578125","0.3662109076976776","103","-49","83","4"
2353,"-0.3212890625","0.9244384765625","-0.03466796875","-0.9155272841453552","0.6103515625","-0.30517578125","103","-49","83","4"
2389,"-0.3199462890625","0.901611328125","-0.0341796875","0.0610351525247097","0.30517578125","0.1831054538488388","104","-51","88","4"
2425,"-0.3214111328125","0.916259765625","-0.0279541015625","0.7324218153953552","-0.2441406100988388","0.8544921278953552","104","-51","88","4"
